Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2019,8,9,00:00,UTC,1,1003.7,90,0,-1,15,13.4,36610,327,2.1,1.6
2019,8,9,00:10,UTC,1,1003.7,91,0,-1,14.9,13.4,32580,321,2.8,1.9
2019,8,9,00:20,UTC,1,1003.8,91,0,-1,14.8,13.4,30230,322,3,2
2019,8,9,00:30,UTC,3,1003.8,91,0,-1,14.6,13.2,26370,323,2.6,1.9
2019,8,9,00:40,UTC,5,1003.8,92,0,-1,14.5,13.1,31970,333,2.6,2.1
2019,8,9,00:50,UTC,3,1003.9,92,0,-1,14.3,13.1,32430,341,2.1,1.8
2019,8,9,01:00,UTC,5,1004,92,0,-1,14.5,13.3,37740,335,2,1.6
2019,8,9,01:10,UTC,5,1004,92,0,-1,14.8,13.5,29590,329,2.4,1.5
2019,8,9,01:20,UTC,7,1003.9,91,0,-1,14.9,13.5,31280,336,2.2,1.4
2019,8,9,01:30,UTC,8,1003.9,91,0,-1,14.7,13.3,26670,327,1.7,1
2019,8,9,01:40,UTC,7,1004,92,0,-1,14.6,13.3,28660,340,1.7,1
2019,8,9,01:50,UTC,7,1003.9,92,0,-1,14.7,13.3,28890,337,2.6,1.3
2019,8,9,02:00,UTC,7,1004,92,0,-1,14.7,13.4,28970,329,2.1,1.5
2019,8,9,02:10,UTC,7,1004,92,0,-1,14.6,13.3,28910,331,2.1,1.3
2019,8,9,02:20,UTC,5,1004.1,91,0,-1,14.6,13.2,32970,324,2.2,1.2
2019,8,9,02:30,UTC,3,1004.2,92,0,-1,14.5,13.2,30830,342,2.7,1.7
2019,8,9,02:40,UTC,5,1004.2,91,0,-1,14.6,13.2,31140,339,2.7,1.6
2019,8,9,02:50,UTC,5,1004.3,91,0,-1,14.5,13,34550,352,2,0.7
2019,8,9,03:00,UTC,5,1004.3,91,0,-1,14.4,13,30870,332,2.9,1.4
2019,8,9,03:10,UTC,1,1004.4,91,0,-1,14.5,13.1,30760,340,2.7,1.9
2019,8,9,03:20,UTC,1,1004.5,90,0,-1,14.6,13,35280,342,2.6,1.6
2019,8,9,03:30,UTC,1,1004.5,91,0,-1,14.5,13.1,29270,348,2.5,1.5
2019,8,9,03:40,UTC,3,1004.6,91,0,-1,14.6,13.1,27720,349,3.2,2
2019,8,9,03:50,UTC,5,1004.5,91,0,-1,14.7,13.2,26640,348,3.4,1.5
2019,8,9,04:00,UTC,7,1004.6,91,0,-1,14.9,13.4,27880,20,3.6,1.5
2019,8,9,04:10,UTC,7,1004.6,89,0,-1,15.1,13.3,26680,5,3,1.5
2019,8,9,04:20,UTC,7,1004.6,89,0,-1,15.1,13.4,27120,18,3.7,1.9
2019,8,9,04:30,UTC,7,1004.7,89,0,-1,15.2,13.5,28710,359,2.8,1.1
2019,8,9,04:40,UTC,7,1004.6,89,0,-1,15.4,13.6,26230,349,1.5,0.8
2019,8,9,04:50,UTC,7,1004.6,87,0,-1,15.6,13.5,28440,29,2.9,1.5
2019,8,9,05:00,UTC,7,1004.7,85,0,-1,15.8,13.3,31360,20,3.6,1.9
2019,8,9,05:10,UTC,7,1004.8,85,0,-1,15.9,13.4,34430,14,3.2,1.7
2019,8,9,05:20,UTC,7,1004.9,85,0,-1,16.1,13.5,31260,18,3.7,2.2
2019,8,9,05:30,UTC,5,1004.8,83,0,-1,16.1,13.3,37910,30,4.1,2.8
2019,8,9,05:40,UTC,5,1004.9,83,0,-1,16.4,13.4,36390,27,4,2.1
2019,8,9,05:50,UTC,7,1005,83,0,-1,16.5,13.5,35070,7,3.4,1.9
2019,8,9,06:00,UTC,7,1005,83,0,-1,16.3,13.4,34360,13,3.5,2
2019,8,9,06:10,UTC,7,1005.1,84,0,-1,16.5,13.7,33960,11,3.1,1.7
2019,8,9,06:20,UTC,7,1005.1,82,0,-1,16.7,13.6,33340,15,3.2,1.8
2019,8,9,06:30,UTC,7,1005.1,81,0,-1,17,13.7,31970,20,3.5,2.2
2019,8,9,06:40,UTC,3,1005.2,78,0,-1,17.9,14,32670,27,3.5,2
2019,8,9,06:50,UTC,5,1005.2,75,0,-1,18.7,14.1,34050,16,3.8,2.3
2019,8,9,07:00,UTC,3,1005.3,74,0,-1,18.3,13.6,34650,44,4.1,2.7
2019,8,9,07:10,UTC,5,1005.3,74,0,-1,18.5,13.7,32800,39,3.1,2
2019,8,9,07:20,UTC,1,1005.3,72,0,-1,19.1,13.9,37250,36,3.6,1.9
2019,8,9,07:30,UTC,1,1005.4,72,0,-1,19.3,14.2,34950,55,4.6,2.7
2019,8,9,07:40,UTC,0,1005.5,72,0,-1,18.9,13.7,33640,48,4.5,2.6
2019,8,9,07:50,UTC,0,1005.5,73,0,-1,19,14,33740,57,4.7,2.7
2019,8,9,08:00,UTC,1,1005.6,72,0,-1,19.2,13.9,37980,72,4.1,2.8
2019,8,9,08:10,UTC,1,1005.7,71,0,-1,19.7,14.4,38630,78,4.7,3.1
2019,8,9,08:20,UTC,3,1005.8,70,0,-1,19.8,14.1,34680,80,4.5,2.8
2019,8,9,08:30,UTC,5,1005.9,68,0,-1,19.7,13.7,35390,52,4.7,2.6
2019,8,9,08:40,UTC,7,1006,69,0,-1,19.8,14,37460,67,4.1,2.8
2019,8,9,08:50,UTC,7,1006.1,71,0,-1,19.5,14.1,40380,48,4,2.1
2019,8,9,09:00,UTC,7,1006.1,69,0,-1,19.8,14,37880,80,4.2,3
2019,8,9,09:10,UTC,7,1006.1,67,0,-1,19.7,13.5,40600,79,4.4,3.4
2019,8,9,09:20,UTC,7,1006.1,68,0,-1,19.8,13.7,34670,68,3.7,2.5
2019,8,9,09:30,UTC,7,1006.2,67,0,-1,19.9,13.6,38090,68,3.9,2
2019,8,9,09:40,UTC,7,1006.2,69,0,-1,20.1,14.2,36300,26,2.8,1.5
2019,8,9,09:50,UTC,7,1006.3,62,0,-1,20.4,13,36540,328,5,2.2
2019,8,9,10:00,UTC,7,1006.3,64,0,-1,20.4,13.3,44520,322,4,2.1
2019,8,9,10:10,UTC,5,1006.3,61,0,-1,20.3,12.5,43350,6,4,1.7
2019,8,9,10:20,UTC,5,1006.4,59,0,-1,20.3,12.1,42480,348,3.8,1.9
2019,8,9,10:30,UTC,5,1006.4,59,0,-1,20.6,12.3,36960,322,4.1,1.8
2019,8,9,10:40,UTC,3,1006.3,59,0,-1,20.8,12.5,42130,21,3.4,1.9
2019,8,9,10:50,UTC,1,1006.4,58,0,-1,20.9,12.2,47020,25,5.1,2.5
2019,8,9,11:00,UTC,3,1006.4,57,0,-1,21.5,12.7,38550,359,5.3,3.6
