,prediction,actual,station,Time
0,1.196831695901023,0.1,Tyynenmerenkatu 8,2019-08-19 00:00:00
1,1.1982496605979072,0.3,Tyynenmerenkatu 8,2019-08-19 00:02:00
2,1.2930791007147897,0.2,Tyynenmerenkatu 8,2019-08-19 00:04:00
3,1.1882039533721076,0.0,Tyynenmerenkatu 8,2019-08-19 00:06:00
4,1.1447934137450324,0.0,Tyynenmerenkatu 8,2019-08-19 00:08:00
5,1.156542889939414,0.0,Tyynenmerenkatu 8,2019-08-19 00:10:00
6,1.1259185896979438,0.0,Tyynenmerenkatu 8,2019-08-19 00:12:00
7,1.1688213573561774,0.0,Tyynenmerenkatu 8,2019-08-19 00:14:00
8,1.2311975287066566,0.0,Tyynenmerenkatu 8,2019-08-19 00:16:00
9,1.2019359098540412,0.1,Tyynenmerenkatu 8,2019-08-19 00:18:00
10,1.1618081556426154,0.1,Tyynenmerenkatu 8,2019-08-19 00:20:00
11,1.1354147420989142,0.1,Tyynenmerenkatu 8,2019-08-19 00:22:00
12,1.1471240745650395,0.0,Tyynenmerenkatu 8,2019-08-19 00:24:00
13,1.1433769987689124,0.2,Tyynenmerenkatu 8,2019-08-19 00:26:00
14,1.1651220248805152,0.0,Tyynenmerenkatu 8,2019-08-19 00:28:00
15,1.191376738415824,0.0,Tyynenmerenkatu 8,2019-08-19 00:30:00
16,1.196793489323722,0.0,Tyynenmerenkatu 8,2019-08-19 00:32:00
17,1.1606005357371436,0.0,Tyynenmerenkatu 8,2019-08-19 00:34:00
18,1.1581889318095313,0.1,Tyynenmerenkatu 8,2019-08-19 00:36:00
19,1.1838448570834266,0.1,Tyynenmerenkatu 8,2019-08-19 00:38:00
20,1.1760973857508763,0.0,Tyynenmerenkatu 8,2019-08-19 00:40:00
21,1.2049675212966071,0.1,Tyynenmerenkatu 8,2019-08-19 00:42:00
22,1.2198267506228553,0.2,Tyynenmerenkatu 8,2019-08-19 00:44:00
23,1.212685458527671,0.0,Tyynenmerenkatu 8,2019-08-19 00:46:00
24,1.1863219963179694,0.2,Tyynenmerenkatu 8,2019-08-19 00:48:00
25,1.1700058506594764,0.0,Tyynenmerenkatu 8,2019-08-19 00:50:00
26,1.1412126051055058,0.0,Tyynenmerenkatu 8,2019-08-19 00:52:00
27,1.1680933462248908,0.1,Tyynenmerenkatu 8,2019-08-19 00:54:00
28,1.1602616535292731,0.0,Tyynenmerenkatu 8,2019-08-19 00:56:00
29,1.1356688963042365,0.0,Tyynenmerenkatu 8,2019-08-19 00:58:00
30,1.2038067804442512,0.5,Tyynenmerenkatu 8,2019-08-19 01:00:00
31,1.1967523323165046,0.0,Tyynenmerenkatu 8,2019-08-19 01:02:00
32,1.2523049043284522,0.0,Tyynenmerenkatu 8,2019-08-19 01:04:00
33,1.1258674489127265,0.0,Tyynenmerenkatu 8,2019-08-19 01:06:00
34,1.1407481657134162,0.1,Tyynenmerenkatu 8,2019-08-19 01:08:00
35,1.1273083613978492,0.1,Tyynenmerenkatu 8,2019-08-19 01:10:00
36,1.1297455953227151,0.1,Tyynenmerenkatu 8,2019-08-19 01:12:00
37,1.1534072683917151,0.2,Tyynenmerenkatu 8,2019-08-19 01:14:00
38,1.1711642371283637,0.0,Tyynenmerenkatu 8,2019-08-19 01:16:00
39,1.1791682170497046,0.0,Tyynenmerenkatu 8,2019-08-19 01:18:00
40,1.164274357424842,0.1,Tyynenmerenkatu 8,2019-08-19 01:20:00
41,1.1253139303790198,0.1,Tyynenmerenkatu 8,2019-08-19 01:22:00
42,1.0866964982615577,0.1,Tyynenmerenkatu 8,2019-08-19 01:24:00
43,1.112055860625373,0.0,Tyynenmerenkatu 8,2019-08-19 01:26:00
44,1.1470367239581214,0.0,Tyynenmerenkatu 8,2019-08-19 01:28:00
45,1.1437770949469672,0.0,Tyynenmerenkatu 8,2019-08-19 01:30:00
46,1.1802275107966531,0.0,Tyynenmerenkatu 8,2019-08-19 01:32:00
47,1.1636735128031837,0.1,Tyynenmerenkatu 8,2019-08-19 01:34:00
48,1.0617980586157905,0.1,Tyynenmerenkatu 8,2019-08-19 01:36:00
49,1.0054001735316382,0.0,Tyynenmerenkatu 8,2019-08-19 01:38:00
50,1.0180286394225226,0.0,Tyynenmerenkatu 8,2019-08-19 01:40:00
51,1.0155075715647803,0.1,Tyynenmerenkatu 8,2019-08-19 01:42:00
52,0.9967082368002996,0.0,Tyynenmerenkatu 8,2019-08-19 01:44:00
53,1.0344641731845008,0.1,Tyynenmerenkatu 8,2019-08-19 01:46:00
54,0.9698221014605628,0.0,Tyynenmerenkatu 8,2019-08-19 01:48:00
55,0.9604335950480568,0.0,Tyynenmerenkatu 8,2019-08-19 01:50:00
56,0.9951264487372504,0.1,Tyynenmerenkatu 8,2019-08-19 01:52:00
57,0.9819169567690956,0.0,Tyynenmerenkatu 8,2019-08-19 01:54:00
58,0.9386347161398992,0.1,Tyynenmerenkatu 8,2019-08-19 01:56:00
59,0.947224192486869,0.2,Tyynenmerenkatu 8,2019-08-19 01:58:00
60,0.9348786996470556,0.0,Tyynenmerenkatu 8,2019-08-19 02:00:00
61,0.8917420582638846,0.0,Tyynenmerenkatu 8,2019-08-19 02:02:00
62,0.8934395836459266,0.0,Tyynenmerenkatu 8,2019-08-19 02:04:00
63,0.8503084854947196,0.1,Tyynenmerenkatu 8,2019-08-19 02:06:00
64,0.9177330063449012,0.1,Tyynenmerenkatu 8,2019-08-19 02:08:00
65,0.8627116607295142,0.1,Tyynenmerenkatu 8,2019-08-19 02:10:00
