,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,0000000053c6c2be,000000006b087f40,000000007b5207b6,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
0,17,9,6,9,14,8,14,13,4,14,14,13,14,2
1,17,9,6,9,14,8,14,13,4,14,14,13,14,2
2,17,9,6,9,14,8,14,13,4,14,14,13,14,2
3,17,9,6,9,14,8,14,13,4,14,14,13,14,2
4,17,9,6,9,14,8,14,13,4,14,14,13,14,2
5,17,9,6,9,14,8,14,13,4,14,14,13,14,2
6,17,9,6,9,14,8,14,13,4,14,14,13,14,2
7,17,9,6,9,14,8,14,13,4,14,14,13,14,2
8,17,9,6,9,14,8,14,13,4,14,14,13,14,2
9,17,9,6,9,14,8,14,13,4,14,14,13,14,2
10,17,9,6,9,14,8,14,13,4,14,14,13,14,2
11,17,9,6,9,14,8,14,13,4,14,14,13,14,2
12,17,9,6,9,14,8,14,13,4,14,14,13,14,2
13,17,9,6,9,14,8,14,13,4,14,14,13,14,2
14,17,9,6,9,14,8,14,13,4,14,14,13,14,2
15,17,9,6,9,14,8,14,13,4,14,14,13,14,2
16,17,9,6,9,14,8,14,13,4,14,14,13,14,2
17,17,9,6,9,14,8,14,13,4,14,14,13,14,2
18,17,9,6,9,14,8,14,13,4,14,14,13,14,2
19,17,9,6,9,14,8,14,13,4,14,14,13,14,2
20,17,9,6,9,14,8,14,13,4,14,14,13,14,2
21,17,9,6,9,14,8,14,13,4,14,14,13,14,2
22,17,9,6,9,14,8,14,13,4,14,14,13,14,2
23,17,9,6,9,14,8,14,13,4,14,14,13,14,2
24,17,9,6,9,14,8,14,13,4,14,14,13,14,2
25,17,9,6,9,14,8,14,13,4,14,14,13,14,2
26,17,9,6,9,14,8,14,13,4,14,14,13,14,2
27,17,9,6,9,14,8,14,13,4,14,14,13,14,2
28,17,9,6,9,14,8,14,13,4,14,14,13,14,2
29,17,9,6,9,14,8,14,13,4,14,14,13,14,2
30,17,9,6,9,14,8,14,13,4,14,14,13,14,2
31,17,9,6,9,14,8,14,13,4,14,14,13,14,2
32,17,9,6,9,14,8,14,13,4,14,14,13,14,2
33,17,9,6,9,14,8,14,13,4,14,14,13,14,2
34,17,9,6,9,14,8,14,13,4,14,14,13,14,2
35,17,9,6,9,14,8,14,13,4,14,14,13,14,2
36,17,9,6,9,14,8,14,13,4,14,14,13,14,2
37,17,9,6,9,14,8,14,13,4,14,14,13,14,2
38,17,9,6,9,14,8,14,13,4,14,14,13,14,2
39,17,9,6,9,14,8,14,13,4,14,14,13,14,2
40,17,9,6,9,14,8,14,13,4,14,14,13,14,2
41,17,9,6,9,14,8,14,13,4,14,14,13,14,2
42,17,9,6,9,14,8,14,13,4,14,14,13,14,2
43,17,9,6,9,14,8,14,13,4,14,14,13,14,2
44,17,9,6,9,14,8,14,13,4,14,14,13,14,2
45,17,9,6,9,14,8,14,13,4,14,14,13,14,2
46,17,9,6,9,14,8,14,13,4,14,14,13,14,2
47,17,9,6,9,14,8,14,13,4,14,14,13,14,2
48,17,9,6,9,14,8,14,13,4,14,14,13,14,2
49,17,9,6,9,14,8,14,13,4,14,14,13,14,2
50,17,9,6,9,14,8,14,13,4,14,14,13,14,2
51,17,9,6,9,14,8,14,13,4,14,14,13,14,2
52,17,9,6,9,14,8,14,13,4,14,14,13,14,2
53,17,9,6,9,14,8,14,13,4,14,14,13,14,2
54,17,9,6,9,14,8,14,13,4,14,14,13,14,2
55,17,9,6,9,14,8,14,13,4,14,14,13,14,2
56,17,9,6,9,14,8,14,13,4,14,14,13,14,2
57,17,9,6,9,14,8,14,13,4,14,14,13,14,2
58,17,9,6,9,14,8,14,13,4,14,14,13,14,2
59,17,9,6,9,14,8,14,13,4,14,14,13,14,2
60,17,9,6,9,14,8,14,13,4,14,14,13,14,2
61,17,9,6,9,14,8,14,13,4,14,14,13,14,2
62,17,9,6,9,14,8,14,13,4,14,14,13,14,2
63,17,9,6,9,14,8,14,13,4,14,14,13,14,2
64,17,9,6,9,14,8,14,13,4,14,14,13,14,2
65,17,9,6,9,14,8,14,13,4,14,14,13,14,2
66,17,9,6,9,14,8,14,13,4,14,14,13,14,2
67,17,9,6,9,14,8,14,13,4,14,14,13,14,2
68,17,9,6,9,14,8,14,13,4,14,14,13,14,2
69,17,9,6,9,14,8,14,13,4,14,14,13,14,2
70,17,9,6,9,14,8,14,13,4,14,14,13,14,2
71,17,9,6,9,14,8,14,13,4,14,14,13,14,2
72,17,9,6,9,14,8,14,13,4,14,14,13,14,2
73,17,9,6,9,14,8,14,13,4,14,14,13,14,2
74,17,9,6,9,14,8,14,13,4,14,14,13,14,2
75,17,9,6,9,14,8,14,13,4,14,14,13,14,2
76,17,9,6,9,14,8,14,13,4,14,14,13,14,2
77,17,9,6,9,14,8,14,13,4,14,14,13,14,2
78,17,9,6,9,14,8,14,13,4,14,14,13,14,2
79,17,9,6,9,14,8,14,13,4,14,14,13,14,2
