,Unnamed: 0,serial,address,postalcode,city,country,description,latitude,longitude,group,alias,double_count
0,0,0000000006dd41f6,Munkkisaarenlaituri,150,Helsinki,Finland,Hernesaari LHC,60.14951,24.92138,hernesaari,,False
1,1,000000000f4919c9,Mannerheimintie 22-24,100,Helsinki,Finland,Amos Rex,60.17065,24.936410000000002,default,,False
2,2,0000000019fb59c4,Tyynenmerenkatu 8,220,Helsinki,Finland,Lansiterminaali 1,60.15432,24.9211,lansiterminaali,,False
3,3,00000000342570c2,Sibeliuksen puisto,250,Helsinki,Finland,Sibelius Monumentti,60.182030000000005,24.91341,default,,False
4,4,0000000038bf9618,Mattolaituri,140,Helsinki,Finland,Kaivopuiston ranta,60.1538,24.95595,default,,False
5,5,0000000038d83d41,Pakkahuoneenlaituri,100,Helsinki,Finland,Pakkahuoneenlaituri,60.165440000000004,24.953979999999998,default,,False
6,6,000000004ef3150d,Tyynenmerenkatu 14,180,Helsinki,Finland,Lansiterminaali 2,60.149469999999994,24.914379999999998,lansiterminaali,,False
7,7,0000000053c6c2be,"Katajanokanlaituri, valopylvas",160,Helsinki,Finland,Katajanokan laituri 2,60.164480000000005,24.973229999999997,katajanokka,,False
8,8,00000000675d5200,Paasisaankaynti,530,Helsinki,Finland,Hakaniemen kauppahalli 1,60.17918,24.95141,default,,True
9,9,000000006b087f40,Kaivokatu 2,100,Helsinki,Finland,Ateneum,60.170019999999994,24.94407,default,,False
10,10,000000006b44cce7,Etelaranta,170,Helsinki,Finland,Kauppatori,60.16761999999999,24.95415,default,,False
11,11,0000000074f765a7,Toolonlahdenranta 1,100,Helsinki,Finland,Oodi,60.173680000000004,24.9381,default,,False
12,12,000000007b5207b6,Torikadun sisaankaynti,530,Helsinki,Finland,Hakaniemen kauppahalli 2,60.179190000000006,24.951810000000002,default,,True
13,13,0000000096918cfa,Lutherinkatu 3,100,Helsinki,Finland,Temppeliaukion kirkko,60.173,24.92524,default,,False
14,14,00000000a53ed894,Hernesaarenlaituri,150,Helsinki,Finland,Hernesaari LHD,60.14699,24.921999999999997,hernesaari,,False
15,15,00000000aa852af1,Alexanterinkatu 24,170,Helsinki,Finland,Senaatintori lantinen,60.168969999999995,24.95222,default,,False
16,16,00000000afef4555,Pohjoisespa 41,100,Helsinki,Finland,Stockmann,60.16829,24.94214,default,,False
17,17,00000000b33a8357,Narikkatorin sisaankaynti,100,Helsinki,Finland,Kamppi,60.169,24.932879999999997,default,,False
18,18,00000000cd16b8ef,Alexanterinkatu 20,170,Helsinki,Finland,Senaatintori itainen,60.16899,24.95337,default,,False
19,19,00000000d747f075,Katajanokanlaituri 8,160,Helsinki,Finland,Katajanokan terminaali,60.1638,24.96846,katajanokka,,False
20,20,00000000e8a064a4,Munkkisaarenlaituri,150,Helsinki,Finland,Hernesaari LHB,60.15133,24.923289999999998,hernesaari,,False
21,21,00000000f1124bca,Olympiaranta 1,100,Helsinki,Finland,Olympiaterminaali,60.16075,24.95883,olympia,,False
22,22,00000000fb7600be,Katajanokka,160,Helsinki,Finland,Katajanokan laituri,60.166290000000004,24.959570000000003,katajanokka,,False
23,23,00000000fdda10fe,Erottajankatu 11,130,Helsinki,Finland,Dianapuisto,60.16531,24.9442,default,,False
24,24,00000000fffb8cf0,Paalaituri,190,Helsinki,Finland,Suomenlinna,60.148999999999994,24.9843,default,,False
