time,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,000000004ef3150d,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,0000000074f765a7,000000007b5207b6,0000000096918cfa,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000b33a8357,00000000cd16b8ef,00000000d747f075,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
10/8/2019 0:00,3,3,0,8,82,14,0,2,1,14,44,0,4,0,25,4,9,0,0,0,3,0,13,16,2
10/8/2019 0:30,4,0,2,6,54,13,0,2,0,9,49,0,4,0,27,5,4,0,0,0,2,0,9,13,2
10/8/2019 1:00,3,0,0,6,3,18,0,3,6,11,54,0,0,0,26,5,5,0,0,0,1,0,8,17,2
10/8/2019 1:30,3,0,4,5,4,18,0,2,6,4,42,0,0,0,25,7,10,0,0,0,2,0,6,14,2
10/8/2019 2:00,4,0,1,6,2,7,0,3,2,7,41,0,4,0,26,4,13,0,0,0,2,0,9,16,2
10/8/2019 2:30,5,0,3,7,1,8,0,3,1,8,39,0,4,0,26,6,3,0,0,0,2,0,10,17,2
10/8/2019 3:00,3,0,0,6,0,9,0,2,1,3,34,0,4,0,26,7,2,0,0,0,2,0,7,12,2
10/8/2019 3:30,5,0,1,6,0,12,0,3,5,8,43,0,0,3,25,4,3,0,0,0,4,0,8,17,2
10/8/2019 4:00,7,0,1,6,0,11,0,5,8,3,61,0,0,3,23,30,4,0,0,0,2,0,12,10,2
10/8/2019 4:30,92,3,2,9,0,9,0,2,13,3,58,0,1,3,40,28,4,0,0,0,2,0,60,10,2
10/8/2019 5:00,100,0,3,10,2,9,0,4,20,4,67,0,0,2,56,36,3,0,0,0,4,0,52,13,3
10/8/2019 5:30,107,0,1,13,2,6,0,3,29,11,78,0,1,2,51,31,7,0,0,0,2,0,82,16,4
10/8/2019 6:00,117,3,3,26,6,9,0,4,43,17,107,0,2,3,71,29,12,0,0,3,2,0,90,18,6
10/8/2019 6:30,114,7,3,16,5,23,0,22,43,9,116,0,0,14,57,61,20,0,0,18,3,3,92,23,4
10/8/2019 7:00,105,5,5,38,5,23,0,23,57,13,117,0,5,5,38,48,37,0,0,4,4,17,59,13,2
10/8/2019 7:30,74,12,3,29,18,39,0,29,27,19,104,0,46,8,37,64,32,0,0,26,2,29,54,22,12
