,time,variable,value
0,10/8/2019 0:00,0000000006dd41f6,3
1,10/8/2019 0:30,0000000006dd41f6,4
2,10/8/2019 1:00,0000000006dd41f6,3
3,10/8/2019 1:30,0000000006dd41f6,3
4,10/8/2019 2:00,0000000006dd41f6,4
5,10/8/2019 2:30,0000000006dd41f6,5
6,10/8/2019 3:00,0000000006dd41f6,3
7,10/8/2019 3:30,0000000006dd41f6,5
8,10/8/2019 4:00,0000000006dd41f6,7
9,10/8/2019 4:30,0000000006dd41f6,92
10,10/8/2019 5:00,0000000006dd41f6,100
11,10/8/2019 5:30,0000000006dd41f6,107
12,10/8/2019 6:00,0000000006dd41f6,117
13,10/8/2019 6:30,0000000006dd41f6,114
14,10/8/2019 7:00,0000000006dd41f6,105
15,10/8/2019 7:30,0000000006dd41f6,74
16,10/8/2019 8:00,0000000006dd41f6,74
17,10/8/2019 8:30,0000000006dd41f6,89
18,10/8/2019 9:00,0000000006dd41f6,80
19,10/8/2019 9:30,0000000006dd41f6,88
20,10/8/2019 10:00,0000000006dd41f6,87
21,10/8/2019 10:30,0000000006dd41f6,74
22,10/8/2019 11:00,0000000006dd41f6,91
23,10/8/2019 11:30,0000000006dd41f6,104
24,10/8/2019 12:00,0000000006dd41f6,102
25,10/8/2019 12:30,0000000006dd41f6,86
26,10/8/2019 13:00,0000000006dd41f6,97
27,10/8/2019 13:30,0000000006dd41f6,105
28,10/8/2019 14:00,0000000006dd41f6,103
29,10/8/2019 14:30,0000000006dd41f6,104
30,10/8/2019 15:00,0000000006dd41f6,97
31,10/8/2019 15:30,0000000006dd41f6,11
32,10/8/2019 16:00,0000000006dd41f6,7
33,10/8/2019 16:30,0000000006dd41f6,4
34,10/8/2019 17:00,0000000006dd41f6,3
35,10/8/2019 17:30,0000000006dd41f6,10
36,10/8/2019 18:00,0000000006dd41f6,5
37,10/8/2019 18:30,0000000006dd41f6,3
38,10/8/2019 19:00,0000000006dd41f6,6
39,10/8/2019 19:30,0000000006dd41f6,1
40,10/8/2019 20:00,0000000006dd41f6,1
41,10/8/2019 20:30,0000000006dd41f6,3
42,10/8/2019 21:00,0000000006dd41f6,0
43,10/8/2019 21:30,0000000006dd41f6,8
44,10/8/2019 22:00,0000000006dd41f6,3
45,10/8/2019 22:30,0000000006dd41f6,3
46,10/8/2019 23:00,0000000006dd41f6,4
47,10/8/2019 23:30,0000000006dd41f6,3
48,11/8/2019 0:00,0000000006dd41f6,2
49,11/8/2019 0:30,0000000006dd41f6,3
50,11/8/2019 1:00,0000000006dd41f6,2
