Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2019,7,15,00:00,UTC,7,1011.3,84,0,-1,15.2,12.5,50000,257,2.9,2
2019,7,15,00:10,UTC,7,1011.3,87,0,-1,14.6,12.4,50000,254,3.6,2.3
2019,7,15,00:20,UTC,7,1011.3,87,0,-1,14.5,12.4,50000,260,3.4,1.8
2019,7,15,00:30,UTC,7,1011.2,88,0,-1,14.2,12.3,50000,252,2.5,1.7
2019,7,15,00:40,UTC,7,1011.2,89,0,-1,14.2,12.4,50000,236,2.7,1.7
2019,7,15,00:50,UTC,7,1011.1,85,0,-1,15,12.4,50000,243,2.7,1.9
2019,7,15,01:00,UTC,7,1011.1,85,0,-1,15,12.5,50000,241,3,2.1
2019,7,15,01:10,UTC,7,1011.1,87,0,-1,14.4,12.3,50000,260,2.6,1.5
2019,7,15,01:20,UTC,5,1011,88,0,-1,14.4,12.4,50000,217,3,1.9
2019,7,15,01:30,UTC,5,1011,90,0,-1,14,12.4,49730,263,2.2,1.1
2019,7,15,01:40,UTC,3,1011,91,0,-1,13.7,12.3,50000,337,2.5,1.6
2019,7,15,01:50,UTC,3,1010.9,93,0,-1,13.2,12.1,50000,312,1.2,0.7
2019,7,15,02:00,UTC,1,1010.9,94,0,-1,13.1,12.1,40820,0,0,0
2019,7,15,02:10,UTC,1,1010.9,95,0,-1,12.9,12,40560,0,0,0
2019,7,15,02:20,UTC,0,1010.9,95,0,-1,12.9,12.1,45060,0,0,0
2019,7,15,02:30,UTC,1,1010.8,96,0,-1,13.2,12.6,34600,63,1.3,0.8
2019,7,15,02:40,UTC,0,1010.7,96,0,-1,13,12.3,32200,102,1.4,1
2019,7,15,02:50,UTC,1,1010.7,96,0,-1,13,12.4,31210,115,1.6,1.2
2019,7,15,03:00,UTC,1,1010.7,97,0,-1,13.3,12.7,30360,108,1.6,1
2019,7,15,03:10,UTC,1,1010.7,97,0,-1,13.5,12.9,24920,113,1.4,1
2019,7,15,03:20,UTC,1,1010.7,97,0,-1,13.8,13.2,29130,90,1.3,0.6
2019,7,15,03:30,UTC,0,1010.7,96,0,-1,13.6,13.1,23420,115,1.4,0.9
2019,7,15,03:40,UTC,1,1010.7,96,0,-1,14.1,13.4,28440,117,2,1.3
2019,7,15,03:50,UTC,1,1010.7,95,0,-1,14.2,13.4,39820,123,1.9,1.6
2019,7,15,04:00,UTC,1,1010.6,94,0,-1,14.3,13.4,41550,131,2.2,1.5
2019,7,15,04:10,UTC,0,1010.5,92,0,-1,15.2,14,41160,130,2.2,1.6
2019,7,15,04:20,UTC,0,1010.6,89,0,-1,15.7,13.8,50000,114,2,1.4
2019,7,15,04:30,UTC,1,1010.6,87,0,-1,16.1,14,50000,105,2.3,1.4
2019,7,15,04:40,UTC,1,1010.5,82,0,-1,17,14,43930,164,3,1.1
2019,7,15,04:50,UTC,3,1010.5,82,0,-1,16.9,13.9,48090,200,2.7,1.1
2019,7,15,05:00,UTC,3,1010.5,81,0,-1,16.8,13.6,45910,200,3.1,1.6
2019,7,15,05:10,UTC,5,1010.5,80,0,-1,16.6,13.3,47940,211,3.5,2.1
2019,7,15,05:20,UTC,5,1010.5,81,0,-1,16.7,13.4,48760,195,3.5,2
2019,7,15,05:30,UTC,5,1010.5,82,0,-1,16.6,13.6,47180,198,3.4,2.2
2019,7,15,05:40,UTC,5,1010.5,84,0,-1,17.1,14.3,40830,194,3.4,2.2
2019,7,15,05:50,UTC,5,1010.3,83,0,-1,17.1,14.3,43720,200,3.7,2.4
2019,7,15,06:00,UTC,5,1010.3,84,0,-1,16.9,14.1,49250,197,3.7,2.2
2019,7,15,06:10,UTC,5,1010.3,80,0,-1,17.9,14.3,46890,185,3.7,2.6
2019,7,15,06:20,UTC,5,1010.3,80,0,-1,17.1,13.6,43090,213,3.4,2
2019,7,15,06:30,UTC,5,1010.4,81,0,-1,17,13.6,45510,213,3.4,2
2019,7,15,06:40,UTC,5,1010.4,79,0,-1,16.9,13.2,44530,177,4.3,2.5
2019,7,15,06:50,UTC,3,1010.3,79,0,-1,16.8,13.2,49520,153,4.3,3
2019,7,15,07:00,UTC,3,1010.3,79,0,-1,17.1,13.5,37600,178,4.8,2.9
2019,7,15,07:10,UTC,3,1010.2,76,0,-1,17.6,13.3,47470,191,4.1,2.8
2019,7,15,07:20,UTC,1,1010.2,76,0,-1,18,13.7,47030,187,3.6,2
2019,7,15,07:30,UTC,1,1010.1,74,0,-1,18.5,13.8,47200,156,3.8,1.7
2019,7,15,07:40,UTC,3,1010.1,74,0,-1,17.9,13.1,50000,154,3.5,2.2
2019,7,15,07:50,UTC,3,1010,73,0,-1,18.4,13.4,43750,136,4.4,2.7
2019,7,15,08:00,UTC,,,,,,,,,155,4.6,2.8
2019,7,15,08:10,UTC,1,1010,73,0,-1,18.3,13.3,39940,151,4.2,2.8
2019,7,15,08:20,UTC,1,1010,75,0,-1,17.6,13,49380,141,4.6,2.7
2019,7,15,08:30,UTC,0,1010,76,0,-1,18.2,13.9,35810,132,4.7,3.2
2019,7,15,08:40,UTC,1,1010,73,0,-1,18.9,13.8,39700,139,5.2,3.8
2019,7,15,08:50,UTC,3,1010.1,73,0,-1,17.8,13,45400,159,6,3.8
2019,7,15,09:00,UTC,5,1010.1,80,0,-1,17.2,13.7,43180,165,6.2,4.5
2019,7,15,09:10,UTC,7,1010.1,84,0,-1,16.6,13.8,43680,163,6.6,4.6
2019,7,15,09:20,UTC,7,1010,83,0,-1,17.3,14.3,48200,148,5.2,3.5
2019,7,15,09:30,UTC,7,1010,80,0,-1,17.6,14.2,48930,142,5.2,3.5
2019,7,15,09:40,UTC,7,1009.8,81,0,-1,17.5,14.1,50000,133,5.7,4.1
2019,7,15,09:50,UTC,5,1009.8,72,0,-1,18.8,13.7,50000,144,6,3.5
2019,7,15,10:00,UTC,3,1009.8,69,0,-1,18.2,12.4,44910,160,6.5,4.3
2019,7,15,10:10,UTC,1,1009.8,73,0,-1,19,14,35170,165,6.1,4.1
2019,7,15,10:20,UTC,0,1009.8,74,0,-1,18.7,14.1,36530,186,5.8,3.8
2019,7,15,10:30,UTC,0,1009.7,72,0,-1,18.9,13.8,36250,192,6.5,4.1
2019,7,15,10:40,UTC,0,1009.7,67,0,-1,18.7,12.5,38590,209,7.1,4.9
2019,7,15,10:50,UTC,1,1009.7,70,0,-1,19,13.3,38470,227,6.8,4.5
2019,7,15,11:00,UTC,5,1009.8,66,0,-1,18.1,11.7,47840,229,7.7,4.6
2019,7,15,11:10,UTC,7,1009.8,66,0,-1,17.3,11,45150,219,7.3,5.3
2019,7,15,11:20,UTC,7,1009.7,68,0,-1,17.2,11.3,48480,223,6.4,4.5
2019,7,15,11:30,UTC,7,1009.7,69,0,-1,17.1,11.4,49470,228,7.7,4.9
2019,7,15,11:40,UTC,7,1009.7,73,0,-1,16.9,12,36830,226,7.3,5.5
2019,7,15,11:50,UTC,7,1009.7,66,0,-1,17.4,11.1,42060,227,7.3,4.6
2019,7,15,12:00,UTC,7,1009.7,64,0,-1,18,11.1,43180,215,6.1,4.2
2019,7,15,12:10,UTC,7,1009.7,65,0,-1,18.4,11.7,50000,212,5.5,3.6
2019,7,15,12:20,UTC,7,1009.6,59,0,-1,18.8,10.7,41530,218,6.1,3.7
2019,7,15,12:30,UTC,7,1009.6,62,0,-1,18.3,11,45500,213,5.6,4.5
2019,7,15,12:40,UTC,7,1009.6,63,0,-1,18.5,11.3,46840,224,5.9,4.2
2019,7,15,12:50,UTC,7,1009.5,60,0,-1,18.2,10.2,45220,210,6.7,3.3
2019,7,15,13:00,UTC,7,1009.5,61,0,-1,18.2,10.6,45190,216,5.4,3.4
2019,7,15,13:10,UTC,7,1009.5,57,0,-1,18.7,9.9,43450,228,5.7,4
2019,7,15,13:20,UTC,7,1009.5,57,0,-1,18.7,10,47660,209,6.7,3.6
2019,7,15,13:30,UTC,7,1009.4,57,0,-1,19.1,10.4,48040,204,6.4,4.3
2019,7,15,13:40,UTC,3,1009.4,54,0,-1,19.1,9.6,39930,207,5.7,3.3
2019,7,15,13:50,UTC,1,1009.4,49,0,-1,18.9,8,40940,208,5.6,3.6
2019,7,15,14:00,UTC,1,1009.3,51,0,-1,18.9,8.6,43050,211,5.8,4.2
2019,7,15,14:10,UTC,1,1009.2,48,0,-1,18.9,7.5,47300,207,6.4,4.6
2019,7,15,14:20,UTC,1,1009.2,51,0,-1,19.1,8.8,46820,209,5.5,3.6
2019,7,15,14:30,UTC,0,1009.1,56,0,-1,18.5,9.7,45290,190,5.7,3.5
2019,7,15,14:40,UTC,0,1009.1,54,0,-1,18.8,9.3,45810,208,5.4,3.6
2019,7,15,14:50,UTC,0,1009,51,0,-1,19,8.7,50000,207,6,4.1
2019,7,15,15:00,UTC,0,1008.9,51,0,-1,18.6,8.4,50000,203,5,3.6
2019,7,15,15:10,UTC,0,1008.9,46,0,-1,18.2,6.4,50000,201,4.6,3.5
2019,7,15,15:20,UTC,1,1008.9,48,0,-1,18.5,7.4,50000,192,5.7,3.5
2019,7,15,15:30,UTC,3,1008.9,49,0,-1,18.3,7.5,50000,170,4.8,3.2
2019,7,15,15:40,UTC,3,1008.8,45,0,-1,18.7,6.4,50000,162,5.3,3.2
2019,7,15,15:50,UTC,3,1008.8,55,0,-1,17.9,8.7,50000,175,4.8,3.2
2019,7,15,16:00,UTC,1,1008.8,67,0,-1,17.9,11.7,50000,180,6.1,3.7
2019,7,15,16:10,UTC,5,1008.9,67,0,-1,17.6,11.4,50000,180,6.1,3.5
2019,7,15,16:20,UTC,5,1008.9,67,0,-1,17.6,11.5,50000,172,5.7,4
2019,7,15,16:30,UTC,7,1008.9,66,0,-1,17.5,11,40630,178,5.6,3.7
2019,7,15,16:40,UTC,7,1008.8,67,0,-1,17.4,11.3,50000,179,5.7,4.1
2019,7,15,16:50,UTC,7,1008.8,72,0,-1,17.1,11.9,50000,176,6,3.6
2019,7,15,17:00,UTC,7,1008.8,73,0,-1,17,12.1,50000,173,6,3.8
2019,7,15,17:10,UTC,7,1008.7,70,0,-1,17,11.5,50000,178,5.8,4
2019,7,15,17:20,UTC,7,1008.5,71,0,-1,17,11.7,50000,180,5.2,3
2019,7,15,17:30,UTC,7,1008.4,73,0,-1,17,12.1,50000,159,4.7,3.1
2019,7,15,17:40,UTC,7,1008.2,72,0,-1,16.8,11.7,50000,157,4.6,3
2019,7,15,17:50,UTC,7,1008.1,73,0,-1,16.6,11.8,38880,142,4.8,2.7
2019,7,15,18:00,UTC,7,1008.1,70,0,-1,16.5,11.1,50000,145,3.9,2.9
2019,7,15,18:10,UTC,7,1008.1,68,0,-1,16.5,10.6,50000,146,4.3,2.6
2019,7,15,18:20,UTC,7,1008,68,0,-1,16.5,10.5,50000,148,4.6,2.8
2019,7,15,18:30,UTC,8,1008,68,0,-1,16.5,10.6,50000,140,4.7,3.5
2019,7,15,18:40,UTC,8,1008,69,0,-1,16.4,10.7,50000,141,5,3.7
2019,7,15,18:50,UTC,7,1008.1,66,0,-1,16.3,10,50000,140,4.9,3.5
2019,7,15,19:00,UTC,7,1007.9,63,0,-1,16.3,9.2,50000,144,4.5,3.2
2019,7,15,19:10,UTC,5,1007.9,72,0,-1,16.2,11.2,50000,138,5,3.4
2019,7,15,19:20,UTC,7,1007.8,80,0,-1,16.3,12.9,50000,135,5.3,3.1
2019,7,15,19:30,UTC,5,1007.7,82,0,-1,16.3,13.3,50000,123,4.2,2.9
2019,7,15,19:40,UTC,7,1007.6,83,0,-1,16.4,13.5,50000,125,4.3,2.8
2019,7,15,19:50,UTC,7,1007.6,81,0,-1,16.5,13.1,24260,132,5.4,3.1
2019,7,15,20:00,UTC,7,1007.6,82,0.6,-1,16.1,13.1,24020,129,5.6,3.2
2019,7,15,20:10,UTC,7,1007.6,83,0,-1,16.2,13.2,50000,131,5.6,3.2
2019,7,15,20:20,UTC,7,1007.4,83,0,-1,16.3,13.4,50000,131,4.9,3.3
2019,7,15,20:30,UTC,7,1007.4,84,0,-1,16.2,13.6,37500,121,4.6,2.5
2019,7,15,20:40,UTC,7,1007.4,85,0,-1,16.2,13.7,50000,118,5.1,3.2
2019,7,15,20:50,UTC,5,1007.3,86,0,-1,16.2,13.8,49110,140,4.7,3.3
2019,7,15,21:00,UTC,5,1007.2,86,0,-1,16.2,13.8,50000,153,4.3,2.9
2019,7,15,21:10,UTC,1,1007.1,82,0,-1,16.1,13.1,35070,160,5.8,3.8
2019,7,15,21:20,UTC,1,1007.1,81,0,-1,16.1,12.8,50000,161,6.8,4.4
2019,7,15,21:30,UTC,0,1007,82,0,-1,16.1,13.1,50000,156,6.6,3.7
2019,7,15,21:40,UTC,0,1007,83,0,-1,16.1,13.2,50000,153,5.9,3.3
2019,7,15,21:50,UTC,1,1007,82,0,-1,16.1,13,50000,157,6.2,3.5
2019,7,15,22:00,UTC,1,1007,78,0,-1,16.2,12.3,50000,162,6.3,3.9
2019,7,15,22:10,UTC,1,1007,80,0,-1,16,12.6,50000,160,7.5,4.2
2019,7,15,22:20,UTC,3,1006.9,79,0,-1,16.2,12.5,50000,157,6.5,4.3
2019,7,15,22:30,UTC,5,1006.8,79,0,-1,16.2,12.5,48920,159,6,4.1
2019,7,15,22:40,UTC,7,1006.7,79,0,-1,16.1,12.5,50000,159,6.9,3.8
2019,7,15,22:50,UTC,7,1006.7,79,0,-1,16.1,12.5,50000,162,6.1,3.7
2019,7,15,23:00,UTC,7,1006.6,81,0,-1,15.9,12.6,50000,166,6,3.4
2019,7,15,23:10,UTC,5,1006.6,81,0,-1,15.9,12.7,50000,163,5.8,3.7
2019,7,15,23:20,UTC,5,1006.6,82,0,-1,15.9,12.8,50000,157,6.1,3.9
2019,7,15,23:30,UTC,5,1006.5,82,0,-1,15.9,12.9,46240,160,6.1,3.9
2019,7,15,23:40,UTC,5,1006.5,82,0,-1,15.8,12.7,50000,159,5.8,3.6
2019,7,15,23:50,UTC,5,1006.5,83,0,-1,15.6,12.8,50000,171,5.6,3.9
2019,7,16,00:00,UTC,3,1006.4,84,0,-1,15.5,12.8,50000,167,6.4,4
