,000000000f4919c9events,000000000f4919c9places,0000000019fb59c4events,0000000019fb59c4places,00000000342570c2events,00000000342570c2places,0000000038bf9618events,0000000038bf9618places,0000000038d83d41events,0000000038d83d41places,0000000053c6c2beevents,0000000053c6c2beplaces,000000006b087f40events,000000006b087f40places,000000007b5207b6events,000000007b5207b6places,00000000a53ed894events,00000000a53ed894places,00000000aa852af1events,00000000aa852af1places,00000000afef4555events,00000000afef4555places,00000000fb7600beevents,00000000fb7600beplaces,00000000fdda10feevents,00000000fdda10feplaces,00000000fffb8cf0events,00000000fffb8cf0places
0,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
1,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
2,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
3,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
4,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
5,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
6,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
7,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
8,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
9,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
10,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
11,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
12,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
13,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
14,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
15,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
16,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
17,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
18,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
19,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
20,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
21,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
22,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
23,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
24,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
25,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
26,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
27,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
28,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
29,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
30,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
31,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
32,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
33,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
34,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
35,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
36,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
37,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
38,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
39,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
40,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
41,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
42,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
43,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
44,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
45,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
46,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
47,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
48,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
49,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
50,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
51,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
52,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
53,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
54,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
55,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
56,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
57,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
58,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
59,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
60,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
61,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
62,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
63,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
64,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
65,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
66,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
67,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
68,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
69,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
70,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
71,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
72,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
73,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
74,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
75,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
76,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
77,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
78,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
79,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
80,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
81,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
82,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
83,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
84,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
85,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
86,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
87,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
88,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
89,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
90,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
91,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
92,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
93,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
94,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
95,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
96,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
97,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
98,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
99,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
100,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
101,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
102,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
103,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
104,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
105,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
106,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
107,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
108,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
109,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
110,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
111,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
112,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
113,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
114,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
115,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
116,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
