,time,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,000000004ef3150d,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,0000000074f765a7,000000007b5207b6,0000000096918cfa,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000b33a8357,00000000cd16b8ef,00000000d747f075,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
0,2019-08-10 00:00:00,3,3,0,8,82,14,0,2,1,14,44,0,4,0,25,4,9,0,0,0,3,0,13,16,2
1,2019-08-10 00:02:00,3,2,2,6,79,11,0,3,5,13,41,0,0,0,26,4,10,0,0,0,2,0,10,19,2
2,2019-08-10 00:04:00,5,1,3,6,76,16,0,2,6,12,47,0,0,0,25,7,12,0,0,0,2,0,12,22,2
3,2019-08-10 00:06:00,4,0,2,7,81,14,0,2,2,15,42,0,3,0,24,4,10,0,0,0,2,0,10,21,2
4,2019-08-10 00:08:00,2,0,1,9,81,12,0,2,0,15,40,0,4,0,26,5,19,0,0,0,3,0,9,18,2
5,2019-08-10 00:10:00,3,4,2,7,77,11,0,3,6,11,48,0,0,0,26,4,7,0,0,0,2,0,9,22,2
6,2019-08-10 00:12:00,5,0,0,7,71,9,0,2,4,14,43,0,0,0,25,4,15,0,0,0,1,0,13,15,2
7,2019-08-10 00:14:00,3,2,2,7,80,11,0,3,1,7,42,0,4,0,24,4,6,0,0,0,2,0,19,17,2
8,2019-08-10 00:16:00,3,3,3,8,76,12,0,3,1,17,41,0,4,0,27,6,6,0,0,0,2,0,5,15,2
9,2019-08-10 00:18:00,4,3,2,6,78,7,0,3,4,15,42,0,0,0,25,7,10,0,0,0,1,0,7,29,2
10,2019-08-10 00:20:00,2,0,5,5,73,8,0,2,4,11,48,0,0,0,25,4,8,0,0,0,2,0,8,13,2
11,2019-08-10 00:22:00,4,1,0,5,64,10,0,2,2,12,42,0,3,0,25,8,5,0,0,0,2,0,9,18,2
12,2019-08-10 00:24:00,3,1,2,5,67,15,0,3,1,22,37,0,4,0,26,4,6,0,0,0,2,0,7,15,2
13,2019-08-10 00:26:00,4,1,1,6,62,10,0,3,4,9,46,0,0,0,25,4,10,0,0,0,2,0,6,15,2
14,2019-08-10 00:28:00,3,0,1,6,61,12,0,2,6,17,44,0,0,0,26,8,9,0,0,0,2,0,10,13,2
15,2019-08-10 00:30:00,4,0,2,6,54,13,0,2,0,9,49,0,4,0,27,5,4,0,0,0,2,0,9,13,2
16,2019-08-10 00:32:00,3,0,3,5,53,9,0,3,3,21,46,0,3,0,26,6,6,0,0,0,2,0,10,17,2
17,2019-08-10 00:34:00,3,0,1,6,48,9,0,3,3,8,53,0,1,0,26,3,11,0,0,0,2,0,10,18,2
18,2019-08-10 00:36:00,4,0,2,5,36,14,0,2,6,10,47,0,0,0,25,6,7,0,0,0,0,0,10,19,2
19,2019-08-10 00:38:00,5,0,2,5,30,10,0,3,2,12,42,0,4,0,24,4,3,0,0,0,2,0,7,19,2
20,2019-08-10 00:40:00,5,0,3,6,27,9,0,2,1,11,39,0,4,0,26,4,10,0,0,0,2,0,6,18,2
21,2019-08-10 00:42:00,4,0,0,5,17,12,0,2,4,14,43,0,1,0,26,4,8,0,0,0,2,0,8,19,2
22,2019-08-10 00:44:00,5,0,7,6,20,13,0,2,6,18,45,0,0,0,25,6,5,0,0,0,2,0,5,18,2
23,2019-08-10 00:46:00,4,0,7,7,23,18,0,2,1,10,36,0,4,0,27,5,4,0,0,0,2,0,8,19,2
24,2019-08-10 00:48:00,4,1,6,5,17,16,0,2,1,11,43,0,4,0,25,4,8,0,0,0,2,0,7,20,2
25,2019-08-10 00:50:00,2,0,5,5,6,10,0,3,6,13,42,0,0,0,25,4,3,0,0,0,3,0,10,19,2
26,2019-08-10 00:52:00,4,2,2,7,11,11,0,3,3,9,47,0,1,0,25,4,12,0,0,0,1,0,10,15,2
27,2019-08-10 00:54:00,5,2,1,8,12,11,0,2,2,10,57,0,4,0,25,4,6,0,0,0,2,0,8,19,2
28,2019-08-10 00:56:00,4,0,1,6,9,10,0,3,1,15,46,0,4,0,24,5,10,0,0,0,3,0,10,19,2
29,2019-08-10 00:58:00,3,0,2,6,0,13,0,2,5,21,47,0,0,0,26,9,9,0,0,0,3,0,7,15,2
30,2019-08-10 01:00:00,3,0,0,6,3,18,0,3,6,11,54,0,0,0,26,5,5,0,0,0,1,0,8,17,2
31,2019-08-10 01:02:00,4,3,3,6,7,15,0,3,2,13,57,0,4,0,25,6,8,0,0,0,2,0,8,17,2
32,2019-08-10 01:04:00,4,0,5,7,7,16,0,2,1,13,49,0,4,0,22,5,6,0,0,0,3,0,8,18,2
33,2019-08-10 01:06:00,6,0,2,7,4,14,0,3,5,8,46,0,0,0,24,5,4,0,0,0,2,0,11,19,2
34,2019-08-10 01:08:00,4,0,2,6,5,13,0,2,6,3,48,0,0,0,24,6,9,0,0,0,0,0,9,17,2
35,2019-08-10 01:10:00,3,0,2,6,2,11,0,2,1,11,47,0,5,0,26,4,9,0,0,0,2,0,10,14,2
36,2019-08-10 01:12:00,3,0,4,7,3,12,0,2,0,3,43,0,4,0,26,7,8,0,0,0,2,0,9,13,2
37,2019-08-10 01:14:00,2,2,3,6,1,9,0,3,5,5,44,0,0,0,25,6,9,0,0,0,3,0,10,17,2
38,2019-08-10 01:16:00,3,0,3,7,2,13,0,2,5,4,39,0,0,0,24,6,7,0,0,0,2,0,10,17,2
39,2019-08-10 01:18:00,3,0,2,7,1,14,0,3,2,1,41,0,4,0,25,6,12,0,0,0,2,0,8,18,2
